name,v_nom,Nemotecnico,Name Node,x,y,FID,wkt_geom,taxonomy,bus,p_nom,carrier,Synchronous Reactance Xd - Ohms,Assumption,p_factor,Plant Name Database,Plant Name Database 2,Barra i,Barra j,Row,Line
711_525kV,,,EQ_POLPAICO______500_A.JAHUEL______500,326529,6325409,243,,Power Plant Equivalent,711_525kV,1803.07,Equivalente,0,3,-1,,,POLPAICO______500,A.JAHUEL______500,98,
711_B,,,EQ_POLPAICO______220_LOS MAQUIS,326527,6325409,244,,Power Plant Equivalent,711,295.12,Equivalente,0,3,-1,,,POLPAICO______220,LOS MAQUIS____220,97,
711_C,,,EQ_E.SALTO_______220_POLPAICO,326527,6325409,245,,Power Plant Equivalent,711,818.5,Equivalente,0,3,0.32,,,E.SALTO_______220,POLPAICO______220,116,
711_D,,,EQ_POLPAICO_LAS_TORTOLAS,326527,6325409,246,,Power Plant Equivalent,711,213.20,Equivalente,0,2,-0.27,,,,,,-1
711_E,,,EQ_POLPAICO_SANTA_FILOMENA,326527,6325409,247,,Power Plant Equivalent,711,260.88,Equivalente,0,2,-0.27,,,,,,-1
797,,,TER NEHUENCO CC1-TG,282805.9571,6353344.05,267,,Power Plant,615,213,Natural Gas,2.348870192,0,,Nehuenco GNL,,,,,
799,,,TER NEHUENCO CC1-TV,282805.9571,6353344.05,268,,Power Plant,615,112.815,Natural Gas,1.701,1,0.2375,Nehuenco Diesel,,,,,
800,,,TER NEHUENCO II CC1-TG,282805.9571,6353344.05,269,,Power Plant,615,242.035,Natural Gas,1.7364375,1,0.2375,Nehuenco II GNL,,,,,
803,,,TER NEHUENCO II CC1-TV,282805.9571,6353344.05,270,,Power Plant,615,145.334,Natural Gas,3.206661585,1,0.2375,Nehuenco II Diesel,,,,,
754,,,TER NEHUENCO 9B U1,282805.9571,6353344.05,271,,Power Plant,615,106.92,Diesel,2.193145161,1,0.2375,Nehuenco TG 9B Diesel,,,,,
818,,,TER SAN ISIDRO II CC1-TV,283635.5913,6353325.036,272,,Power Plant,615,138.55,Natural Gas,2.180672393,1,0.2375,San Isidro II Diesel,,,,,
821,,,TER SAN ISIDRO CC1-TG,283510.997,6353323.85,273,,Power Plant,615,208.63,Natural Gas,1.457226277,1,0.2375,San Isidro GNL,,,,,
822,,,TER SAN ISIDRO CC1-TV,283510.997,6353323.85,274,,Power Plant,615,138,Natural Gas,3.920632966,1,0.2375,San Isidro Diesel,,,,,
823,,,TER SAN ISIDRO II CC1-TG,283635.5913,6353325.036,275,,Power Plant,615,257.313,Natural Gas,1.43852459,1,0.2375,San Isidro II GNL,,,,,
586,,,EQ_QUILLOTA______220_PIUQUENES,289742.9998,6351736.016,253,,Power Plant Equivalent,586,222.40,Equivalente,0,3,-1,,,QUILLOTA______220,PIUQUENES_____220,70,
586_1,,,EQ_QUILLOTA______110_ILLAPEL_______110,289742.9998,6351736.016,254,,Power Plant Equivalent,586,42.11,Equivalente,0,3,-1,,,QUILLOTA______110,ILLAPEL_______110,73,
1990_1,,,EQ_LAS_VEGAS_ESPERANZA,311734,6364271,255,,Power Plant Equivalent,1990,57.35,Equivalente,0,2,-0.27,,,,,,-1
72,,,LOS VIENTOS,311620.9965,6364227.019,256,,Power Plant,1990,131.87,Diesel,3.276,1,0.95,Los Vientos TG,,,,,
1990_2,,,EQ_LAS_VEGAS_SAN_PEDRO_44kV,311734,6364271,257,,Power Plant Equivalent,1990,15.32,Equivalente,0,2,-0.27,,,,,,-1
1990_3,,,EQ_LAS_VEGAS_RUNGUE_44kV,311734,6364271,258,,Power Plant Equivalent,1990,20.08,Equivalente,0,2,-0.27,,,,,,-1
1990_4,,,EQ_LAS_VEGAS_TAP_SAN_RAFAEL,311734,6364271,259,,Power Plant Equivalent,1990,20.25,Equivalente,0,2,-0.27,,,,,,-1
1990_5,,,EQ_LAS_VEGAS_CRISTALERIAS,311734,6364271,260,,Power Plant Equivalent,1990,49.92,Equivalente,0,2,-0.27,,,,,,-1
1791,,,SANTIAGO SOLAR,326509.9663,6338084.96,261,,Power Plant,1791,90.83,Solar,0,4,0.85,,,,,,
1102,,,EQ_PACHACAMA_LA_CALERA,298360.9998,6362677.015,262,,Power Plant Equivalent,1102,108.31,Equivalente,0,2,-0.27,,,,,,
711_525kV_B,,,EQ_NUEVA_PAN_DE_AZUCAR_POLPAICO_500,326529,6325409,287,,Power Plant Equivalent,711_525kV,2355.6,Equivalente,0,2,0,,,,,,
